,datetime,description,icon
0,2025-02-09,Partly cloudy throughout the day with storms possible.,rain
1,2025-02-10,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
2,2025-02-11,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
3,2025-02-12,Cloudy skies throughout the day with storms possible.,rain
4,2025-02-13,Partly cloudy throughout the day with storms possible.,rain
5,2025-02-14,Clearing in the afternoon with storms possible.,partly-cloudy-day
6,2025-02-15,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
7,2025-02-16,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
