,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Adamantina, SP, Brasil",2025-02-15,34.0,23.0,28.1,37.2,23.0,29.5,21.0,67.0,0.2,100.0,8.33,rain,0,0,25.9,13.0,74.7,1011.3,50.5,12.4,273.6,23.6,10,30,2025-02-15T06:14:28,2025-02-15T19:02:07,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"remote,SBDN"
1,"Adamantina, SP, Brasil",2025-02-16,34.5,23.8,28.6,36.6,23.8,29.9,19.8,59.8,0.1,35.5,4.17,rain,0,0,22.7,13.7,30.5,1010.1,68.8,24.1,265.1,22.8,10,60,2025-02-16T06:15:00,2025-02-16T19:01:28,0.63,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
2,"Adamantina, SP, Brasil",2025-02-17,35.2,23.3,28.7,35.6,23.3,29.2,18.2,55.2,0.0,16.1,0.0,,0,0,33.8,13.3,18.6,1010.9,53.0,24.1,312.2,27.0,10,30,2025-02-17T06:15:30,2025-02-17T19:00:48,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Adamantina, SP, Brasil",2025-02-18,34.6,23.1,27.4,35.9,23.1,28.1,19.1,62.0,1.4,29.0,25.0,rain,0,0,42.1,29.9,340.7,1010.4,41.9,24.0,287.8,24.9,10,30,2025-02-18T06:16:01,2025-02-18T19:00:07,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
4,"Adamantina, SP, Brasil",2025-02-19,34.0,22.1,27.4,35.4,22.1,28.1,19.3,63.9,0.3,29.0,8.33,rain,0,0,26.3,13.7,328.3,1011.0,77.2,24.1,304.5,26.4,10,30,2025-02-19T06:16:31,2025-02-19T18:59:25,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Adamantina, SP, Brasil",2025-02-20,35.9,22.3,28.5,36.6,22.3,29.0,18.5,58.1,0.0,22.6,0.0,,0,0,19.1,11.2,109.8,1011.8,85.8,24.1,303.0,26.0,10,10,2025-02-20T06:17:00,2025-02-20T18:58:43,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Adamantina, SP, Brasil",2025-02-21,33.8,23.3,28.3,36.1,23.3,29.5,19.7,60.4,1.1,25.8,16.67,rain,0,0,30.4,14.4,71.7,1012.4,94.2,24.1,214.6,18.6,8,30,2025-02-21T06:17:29,2025-02-21T18:57:59,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
7,"Adamantina, SP, Brasil",2025-02-22,31.3,21.5,25.4,33.1,21.5,26.2,20.3,75.2,3.8,41.9,16.67,rain,0,0,31.7,13.0,109.2,1012.3,83.5,22.1,164.0,14.3,6,30,2025-02-22T06:17:58,2025-02-22T18:57:15,0.83,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
