,datetime,tempmin,temp,tempmax
0,2025-02-15,23.0,28.1,34.0
1,2025-02-16,23.8,28.6,34.5
2,2025-02-17,23.3,28.7,35.2
3,2025-02-18,23.1,27.4,34.6
4,2025-02-19,22.1,27.4,34.0
5,2025-02-20,22.3,28.5,35.9
6,2025-02-21,23.3,28.3,33.8
7,2025-02-22,21.5,25.4,31.3
